school_number,school,year,meet,sport,event,division,rank,source
401230,小山台,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,金賞・最優秀,https://tokousuiren.com/wp/wp-content/uploads/2023/08/faa0f6568724e6579e4b131c379c3da8.pdf
401230,小山台,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,A組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/5c8581956a76f340f29d38433d277bf7-1.pdf
401230,小山台,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/1320a9bee6735a923c87fd4240e7763e.pdf
401230,小山台,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,A組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/11A.pdf
401230,小山台,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14B.pdf
401230,小山台,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d561582e9acf3539f4c9a76ff302fd4f-1.pdf
401240,雪谷,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/faa0f6568724e6579e4b131c379c3da8.pdf
401240,雪谷,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/53e3451720747af128373fcdcc3b006c.pdf
401240,雪谷,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14B.pdf
401240,雪谷,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
401250,大森,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf
401250,大森,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/bb46b813d7292eef7aa357dc1d245884-1.pdf
401250,大森,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/15C.pdf
401250,大森,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/7d680b3494d788f321dd9ce6cce6ee74.pdf
401260,田園調布,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/ba579a8411d950a64621fd883ab21b16.pdf
401260,田園調布,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b4e7c00ade28fec9b7e02142c8914e3a-1.pdf
401260,田園調布,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14C.pdf
401260,田園調布,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/3a7f12fc7d75f389b7699ec6d069c857.pdf
401410,つばさ総合,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf
401410,つばさ総合,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/1320a9bee6735a923c87fd4240e7763e.pdf
401410,つばさ総合,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13B-1.pdf
401410,つばさ総合,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/3a7f12fc7d75f389b7699ec6d069c857.pdf
401520,美原,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/ba579a8411d950a64621fd883ab21b16.pdf
401520,美原,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b4e7c00ade28fec9b7e02142c8914e3a-1.pdf
401520,美原,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14C.pdf
401520,美原,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
401610,芝商業,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf
402040,目黒,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/2c9e4a14f98a3ad4c7c6fc470edef9e1.pdf
402040,目黒,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/3d48d95b16a2ffd6ce9242fd8a9f2a6b.pdf
402040,目黒,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13B-1.pdf
402040,目黒,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
402080,広尾,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/bc1617a16c8e43a4934b54c400f159f1.pdf
402080,広尾,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/bb46b813d7292eef7aa357dc1d245884-1.pdf
402080,広尾,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
402080,広尾,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
402420,世田谷総合,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/ba579a8411d950a64621fd883ab21b16.pdf
402420,世田谷総合,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b4e7c00ade28fec9b7e02142c8914e3a-1.pdf
402420,世田谷総合,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14C.pdf
402420,世田谷総合,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/3a7f12fc7d75f389b7699ec6d069c857.pdf
402530,芦花,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/bc1617a16c8e43a4934b54c400f159f1.pdf
402530,芦花,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/3de6c248aa47bc7faa0bba774abea48e.pdf
402530,芦花,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/aaa091c582d08a722acb89b77b55f308.pdf
402620,第一商業,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/bc1617a16c8e43a4934b54c400f159f1.pdf
402620,第一商業,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b7ce6a09e040af45476be5a780be11c7.pdf
402620,第一商業,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
402620,第一商業,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
402810,園芸,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/15C.pdf
402930,国際,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/2c9e4a14f98a3ad4c7c6fc470edef9e1.pdf
402930,国際,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/5c8581956a76f340f29d38433d277bf7-1.pdf
402930,国際,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,東日本組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/3de6c248aa47bc7faa0bba774abea48e.pdf
402930,国際,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
403010,鷺宮,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/bc1617a16c8e43a4934b54c400f159f1.pdf
403010,鷺宮,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14C.pdf
403030,武蔵丘,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/faa0f6568724e6579e4b131c379c3da8.pdf
403030,武蔵丘,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,東日本組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/1713acdbfaa0888e468b698cc4325f9b.pdf
403030,武蔵丘,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14B.pdf
403030,武蔵丘,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d561582e9acf3539f4c9a76ff302fd4f-1.pdf
403050,西,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/c812336cac0bc9664a017898ef785d48.pdf
403050,西,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/5c8581956a76f340f29d38433d277bf7-1.pdf
403050,西,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/10A.pdf
403050,西,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/1b8c17a4b0186dfeff3c5501deff8f23.pdf
403060,豊多摩,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,A組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/9fda05990901427f29b02340979df9b4.pdf
403060,豊多摩,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/41bbfe1fe2f9b38a425df5046172fb4b.pdf
403060,豊多摩,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/12A.pdf
403060,豊多摩,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d561582e9acf3539f4c9a76ff302fd4f-1.pdf
403070,杉並,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,金賞・最優秀,https://tokousuiren.com/wp/wp-content/uploads/2023/08/3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf
403070,杉並,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/1320a9bee6735a923c87fd4240e7763e.pdf
403070,杉並,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
403070,杉並,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
403210,石神井,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/faa0f6568724e6579e4b131c379c3da8.pdf
403210,石神井,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/bb46b813d7292eef7aa357dc1d245884-1.pdf
403210,石神井,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14C.pdf
403210,石神井,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/7d680b3494d788f321dd9ce6cce6ee74.pdf
403220,井草,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/15C.pdf
403220,井草,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/7d680b3494d788f321dd9ce6cce6ee74.pdf
403410,杉並総合,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/dc8aff67e9fb5cc1e90402e7625dc897.pdf
403410,杉並総合,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,東日本組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/5fbc23275411a8bbfdfa5630a0e937ad.pdf
403410,杉並総合,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/15C.pdf
403410,杉並総合,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/ef419615aaec36d61c235f53aa40ef52.pdf
403510,大泉桜,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/bc1617a16c8e43a4934b54c400f159f1.pdf
403510,大泉桜,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/bb46b813d7292eef7aa357dc1d245884-1.pdf
403510,大泉桜,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
403510,大泉桜,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
403630,第四商業,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/ba579a8411d950a64621fd883ab21b16.pdf
403630,第四商業,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b4e7c00ade28fec9b7e02142c8914e3a-1.pdf
403630,第四商業,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
403630,第四商業,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
404010,竹早,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/faa0f6568724e6579e4b131c379c3da8.pdf
404010,竹早,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/53e3451720747af128373fcdcc3b006c.pdf
404010,竹早,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13B-1.pdf
404010,竹早,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d561582e9acf3539f4c9a76ff302fd4f-1.pdf
404010,竹早,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/7d680b3494d788f321dd9ce6cce6ee74.pdf
404020,向丘,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/9fda05990901427f29b02340979df9b4.pdf
404020,向丘,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b6f95390732796040c9ac7d5976206f3.pdf
404020,向丘,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/0880e86fbe4b7f898ec883b8ddb8ef07-1.pdf
404020,向丘,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d561582e9acf3539f4c9a76ff302fd4f-1.pdf
404040,豊島,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/2c9e4a14f98a3ad4c7c6fc470edef9e1.pdf
404040,豊島,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/3d48d95b16a2ffd6ce9242fd8a9f2a6b.pdf
404040,豊島,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14B.pdf
404040,豊島,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d561582e9acf3539f4c9a76ff302fd4f-1.pdf
404050,文京,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,A組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/c812336cac0bc9664a017898ef785d48.pdf
404050,文京,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,A組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/5c8581956a76f340f29d38433d277bf7-1.pdf
404050,文京,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,A組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/11A.pdf
404050,文京,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,A組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/44fb7569251a62225413479e3526177b-1.pdf
404210,北園,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/bc1617a16c8e43a4934b54c400f159f1.pdf
404210,北園,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b7ce6a09e040af45476be5a780be11c7.pdf
404210,北園,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/0880e86fbe4b7f898ec883b8ddb8ef07-1.pdf
404210,北園,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,東日本組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d086d835ccb5e21907cd421900e8eb90-2.pdf
404220,板橋,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf
404220,板橋,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b4e7c00ade28fec9b7e02142c8914e3a-1.pdf
404220,板橋,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
404220,板橋,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,東日本組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/aaa091c582d08a722acb89b77b55f308.pdf
404260,高島,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf
404260,高島,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/3a7f12fc7d75f389b7699ec6d069c857.pdf
404420,王子総合,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/1320a9bee6735a923c87fd4240e7763e.pdf
404420,王子総合,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14B.pdf
404420,王子総合,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
404510,飛鳥,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/ba579a8411d950a64621fd883ab21b16.pdf
404510,飛鳥,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b4e7c00ade28fec9b7e02142c8914e3a-1.pdf
404510,飛鳥,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,東日本組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/0880e86fbe4b7f898ec883b8ddb8ef07-1.pdf
404510,飛鳥,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d561582e9acf3539f4c9a76ff302fd4f-1.pdf
404520,板橋有徳,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/ba579a8411d950a64621fd883ab21b16.pdf
404520,板橋有徳,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b4e7c00ade28fec9b7e02142c8914e3a-1.pdf
404520,板橋有徳,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14C.pdf
404520,板橋有徳,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/3a7f12fc7d75f389b7699ec6d069c857.pdf
404640,千早,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/15C.pdf
405050,忍岡,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/ba579a8411d950a64621fd883ab21b16.pdf
405050,忍岡,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b4e7c00ade28fec9b7e02142c8914e3a-1.pdf
405050,忍岡,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
405050,忍岡,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
405060,上野,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/2c9e4a14f98a3ad4c7c6fc470edef9e1.pdf
405060,上野,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/53e3451720747af128373fcdcc3b006c.pdf
405060,上野,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
405060,上野,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
405070,竹台,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,東日本組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/5af00a4d2cdedddefa204008173df8c2.pdf
